customer_id,first_name,last_name,email,signup_date,region
CUST00001,Peyton,Lueilwitz,Peyton_Lueilwitz98@gmail.com,2025-03-05,South
CUST00002,Rosemary,Lowe,Rosemary_Lowe@yahoo.com,2024-09-04,Central
CUST00003,Julius,Moen,Julius.Moen@gmail.com,2024-01-16,Central
CUST00004,Bennett,Marvin,Bennett.Marvin@gmail.com,2024-06-21,South
CUST00005,Andy,Becker,Andy.Becker@yahoo.com,2023-03-15,South
CUST00006,Lura,Leffler,Lura.Leffler@yahoo.com,2022-11-13,South
CUST00007,Christine,Ziemann,Christine.Ziemann47@yahoo.com,2023-07-11,North
CUST00008,Dominique,Wisoky,Dominique.Wisoky89@yahoo.com,2025-04-07,Central
CUST00009,Julia,Leuschke,Julia.Leuschke62@gmail.com,2025-06-03,East
CUST00010,Cleve,Schaefer,Cleve.Schaefer@gmail.com,2025-06-05,North
CUST00011,Sandy,Ritchie,Sandy_Ritchie@hotmail.com,2024-09-12,West
CUST00012,Marian,O'Keefe,Marian_OKeefe@yahoo.com,2025-04-19,North
CUST00013,Verna,Weber,Verna_Weber68@gmail.com,2023-12-14,North
CUST00014,Garry,Feeney,Garry.Feeney@gmail.com,2025-09-29,North
CUST00015,Stanton,Hackett,Stanton.Hackett@gmail.com,2022-10-24,West
CUST00016,Bianka,Price,Bianka_Price83@yahoo.com,2023-11-14,West
CUST00017,Santiago,Kuhn,Santiago.Kuhn@hotmail.com,2025-02-10,East
CUST00018,Schuyler,Dickinson,Schuyler.Dickinson@hotmail.com,2025-07-15,Central
CUST00019,Blanca,Donnelly,Blanca_Donnelly@hotmail.com,2023-07-30,East
CUST00020,Courtney,Schumm,Courtney.Schumm@hotmail.com,2023-10-08,West
CUST00021,Mikel,Feest,Mikel_Feest@yahoo.com,2024-12-07,Central
CUST00022,Kellie,Williamson,Kellie_Williamson@yahoo.com,2023-09-16,Central
CUST00023,Amalia,Cummerata,Amalia.Cummerata@gmail.com,2024-09-06,East
CUST00024,Peter,Reynolds,Peter.Reynolds12@hotmail.com,2022-12-31,North
CUST00025,Kyleigh,Rosenbaum,Kyleigh_Rosenbaum@hotmail.com,2024-07-20,East
CUST00026,Taurean,Kunze,Taurean_Kunze@hotmail.com,2023-07-11,West
CUST00027,Braxton,Hartmann,Braxton.Hartmann18@gmail.com,2023-01-07,East
CUST00028,Arnoldo,Kuhlman,Arnoldo.Kuhlman45@hotmail.com,2025-03-04,East
CUST00029,Curt,Langworth,Curt_Langworth@hotmail.com,2024-10-22,Central
CUST00030,Jasper,Anderson,Jasper.Anderson@gmail.com,2023-10-19,Central
CUST00031,Pearl,Fadel,Pearl.Fadel66@hotmail.com,2025-09-04,West
CUST00032,Lambert,Bahringer,Lambert_Bahringer63@gmail.com,2023-08-17,East
CUST00033,Friedrich,Collier,Friedrich.Collier65@yahoo.com,2023-10-31,Central
CUST00034,Rowan,Kemmer,Rowan_Kemmer@hotmail.com,2025-06-02,West
CUST00035,Lelia,Herman,Lelia_Herman@hotmail.com,2023-04-09,Central
CUST00036,Christiana,Langosh,Christiana.Langosh@gmail.com,2024-05-17,South
CUST00037,Kamille,Braun,Kamille_Braun@yahoo.com,2023-02-26,West
CUST00038,Tony,Huels,Tony_Huels96@hotmail.com,2024-07-20,East
CUST00039,Alvina,Hauck,Alvina_Hauck@hotmail.com,2023-08-01,Central
CUST00040,Everette,Blick,Everette_Blick79@gmail.com,2022-12-29,South
CUST00041,Palma,Dickens,Palma_Dickens1@gmail.com,2024-08-24,West
CUST00042,Gideon,Lehner,Gideon.Lehner68@gmail.com,2025-01-28,Central
CUST00043,Werner,Pfannerstill,Werner_Pfannerstill@yahoo.com,2025-06-24,South
